Sr. No.,Work Category,Work ID,Work Type,Work Description,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Has Image,Completion Date,Amount Disbursed (INR)
62,Normal/Others,WS/MP777/2024-2025/136658,"Construction of roads, link roads, pathways or any other road with or without drainage system","Salarpur Kalan Dadri Mai Main Road Se lekar Moolchand Pradhan Ke Makaan ki aur interlocking Naali Nirman Karya, 100 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,996693.0
63,Normal/Others,WS/MP777/2024-2025/136690,"Construction of roads, link roads, pathways or any other road with or without drainage system","Laudana men Gaura Balmiki ke plant se lekar giri Sharma ke makaan ki ore interlocking & naali nirman, 116 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,998016.0
64,Normal/Others,WS/MP777/2024-2025/136689,"Construction of roads, link roads, pathways or any other road with or without drainage system","Mangrouli jewar me prabhat ke ghar se lekar satyaveer ke ghar ki ore CC road & naali nirman, 100 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,996582.0
65,Normal/Others,WS/MP777/2024-2025/136687,"Construction of roads, link roads, pathways or any other road with or without drainage system","Village-Jhuppa men ravindra ke makaan se lekar mahipal Sharma ke makaan ki ore CC road & naali nirman, 73 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,998358.0
66,Normal/Others,WS/MP777/2024-2025/136695,"Construction of roads, link roads, pathways or any other road with or without drainage system","Samaspur Dankaur mandal me Krishna Bansal ke makaan se lekar mohan baba mandir ki ore CC road & naali nirman, 103 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,998154.0
67,Normal/Others,WS/MP777/2024-2025/136694,"Construction of roads, link roads, pathways or any other road with or without drainage system","Chiti men Giriraj ke makaan se lekar rajesh sharma ke makaan ki ore interlocking & naali nirman, 83 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,998067.0
68,Normal/Others,WS/MP777/2024-2025/136693,"Construction of roads, link roads, pathways or any other road with or without drainage system","Kanarsi Dankaur me harikishan ke makaan se lekar mahri ke makaan ki ore interlocking & naali nirman, 75 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,997341.0
69,Normal/Others,WS/MP777/2024-2025/136692,"Construction of roads, link roads, pathways or any other road with or without drainage system","Mangrauli men satveer ke ghar se lekar rajendra ke ghar ki ore CC road & naali nirman, 90 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,996363.0
70,Normal/Others,WS/MP777/2024-2025/136691,"Construction of roads, link roads, pathways or any other road with or without drainage system","Kasna men 6 pratishat plot men C Block se lekar 19 D ki ore CC road  & naali nirman, 35 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,533454.0
71,Normal/Others,WS/MP777/2024-2025/136696,"Construction of roads, link roads, pathways or any other road with or without drainage system","Vilaspur men Rampur road se lekar merry Dairy ki ore interlocking & naali nirman, 91 meter",Uttar Pradesh,GAUTAM BUDDHA NAGAR,DISTRICT MAGISTRATE GAUTAMBUDHNAGAR,Mahesh Sharma,GAUTAM BUDDHA NAGAR,True,2025-09-09,906023.0
