Sr. No.,Work Category,Work ID,Work Type,Work Description,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Has Image,Completion Date,Amount Disbursed (INR)
9979,Normal/Others,WS/MP18045/2025-2026/151624,Lighting of public spaces,High Mask Light,Bihar,SIWAN,DISTRICT PLANNING OFFICER SIWAN,VIJAYLAKSHMI DEVI,SIWAN,True,2025-07-08,958500.0
9980,Normal/Others,WS/MP18045/2025-2026/151625,Lighting of public spaces,High Mask Light,Bihar,SIWAN,DISTRICT PLANNING OFFICER SIWAN,VIJAYLAKSHMI DEVI,SIWAN,True,2025-07-08,958500.0
9981,Normal/Others,WS/MP541/2025-2026/153740,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of Mehboob Khan path at ward no.25, Benganati GP, Nagaon",Assam,NAGAON,DEPUTY COMMISSIONER NOWGONG,Pradyut Bordoloi,NOWGONG,False,2025-11-06,1000000.0
9982,Normal/Others,WS/MP747/2024-2025/135704,Construction of community centers and community halls,Construction of Community Hall in Valayapatti Village and panchayat. Thirupparankundram Panchayat Union.,Tamil Nadu,MADURAI,DISTRICT COLLECTOR MADURAI,Manickam Tagore B,VIRUDHUNAGAR,True,2025-07-08,2495751.0
9983,Normal/Others,WS/MP18371/2025-2026/209334,Installing community drinking water plants,,Manipur,IMPHAL WEST,Deputy Commissioner Imphal West MPLADS,ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,True,2026-02-12,6000000.0
9984,Normal/Others,WS/MP18371/2025-2026/209847,Purchase of motor boats for flood and cyclone prone areas,,Manipur,IMPHAL WEST,Deputy Commissioner Imphal West MPLADS,ANGOMCHA BIMOL AKOIJAM,INNER MANIPUR,True,2025-10-30,550000.0
9985,Normal/Others,WS/MP18039/2025-2026/162175,"Construction of roads, link roads, pathways or any other road with or without drainage system","simri bakhtiyarpur block ke bhatuni panchyat ke tulsyahi ward sankhya 12 main road se ram swarup sahh ke ghat tak local send, bricks, pcc work",Bihar,SAHARSA,DISTRICT PLANNING OFFICER SAHARSA,RAJESH VERMA,KHAGARIA,False,2025-07-08,1196663.0
9986,Normal/Others,WS/MP18014/2024-2025/167505,"Construction of roads, link roads, pathways or any other road with or without drainage system","Construction of Internal CC Road in  Ramapuram  Village of Ramapuram Grama Panchayat, VK Padu Mandal",Andhra Pradesh,Sri Potti Sriramulu Nellore,DISTRICT COLLECTOR NELLORE,PRABHAKAR REDDY VEMIREDDY,NELLORE(SC),True,2025-07-08,499923.0
9987,Normal/Others,WS/MP719/2025-2026/187168,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of gravel road from sukhdev farm to Sharvan lal well in village tokra,Rajasthan,AJMER,DISTRICT COLLECTOR AJMER,Bhagirath Chaudhary,AJMER,False,2026-01-07,485817.0
9988,Normal/Others,WS/MP380/2025-2026/193124,Providing drains and gutters for public drainage,FOR SEWERAGE,Punjab,FATEHGARH SAHIB,DEPUTY COMMISSIONER FATEHGARH SAHIB,Shri Amar Singh,FATEHGARH SAHIB(SC),True,2026-05-08,500000.0
9989,Normal/Others,WS/MP18388/2025-2026/192423,Installing hand pumps,drilling and handpump at ambedkar community hall ambedkar colony,Telangana,PEDDAPALLI,District Collector Peddapally,VAMSI KRISHNA GADDAM,PEDDAPALLE,True,2025-07-08,196418.0
9990,Normal/Others,WS/MP380/2025-2026/193122,Purchase of mobile water tankers,FOR MOBILE WATER TANKER,Punjab,FATEHGARH SAHIB,DEPUTY COMMISSIONER FATEHGARH SAHIB,Shri Amar Singh,FATEHGARH SAHIB(SC),False,2025-08-28,200000.0
9991,Normal/Others,WS/MP380/2025-2026/193120,Purchase of mobile water tankers,FOR MOBILE WATER TANKER,Punjab,FATEHGARH SAHIB,DEPUTY COMMISSIONER FATEHGARH SAHIB,Shri Amar Singh,FATEHGARH SAHIB(SC),False,2025-08-28,200000.0
9992,Normal/Others,WS/MP18089/2025-2026/175137,Construction of footpaths and pedestrian ways,Installation of pavers from Hulagappa Vaalikaar house to road connecting to hulikere (Right Side) of  ward no.01 in koppal town,Karnataka,KOPPAL,DEPUTY COMMISSIONER KOPPAL,K. RAJASHEKAR BASAVARAJ HITNAL,KOPPAL,True,2025-09-01,298326.0
9993,Normal/Others,WS/MP18089/2025-2026/196843,Construction of footpaths and pedestrian ways,Installation of Pavers to road infront of patan masjeed of ward No.29 pf koppal town under koppal parlimentary.,Karnataka,KOPPAL,DEPUTY COMMISSIONER KOPPAL,K. RAJASHEKAR BASAVARAJ HITNAL,KOPPAL,True,2025-09-01,497323.0
9994,Normal/Others,WS/MP18089/2025-2026/196848,Lighting of public spaces,Installation of solar street light from 4th cross of nandi nagar to amaresh maastar house of ward no 31 under koppal parlimentary constituency.,Karnataka,KOPPAL,DEPUTY COMMISSIONER KOPPAL,K. RAJASHEKAR BASAVARAJ HITNAL,KOPPAL,True,2025-12-18,497511.0
9995,Normal/Others,WS/MP429/2025-2026/208960,Installing tube-wells and borewells,Installation of Borewell with Pump.,Chhattisgarh,KORBA,Collector-Korba,Jyotsna Charandas Mahant,KORBA,True,2026-08-09,250000.0
9996,Normal/Others,WS/MP18089/2025-2026/196846,"Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Installation of cover slab on the top of the drain between M D Mujawar house to CD in ward No 19 of koppal town under koppal parlimentary constituency.,Karnataka,KOPPAL,DEPUTY COMMISSIONER KOPPAL,K. RAJASHEKAR BASAVARAJ HITNAL,KOPPAL,True,2025-09-01,497132.0
9997,Normal/Others,WS/MP429/2025-2026/208957,Installing tube-wells and borewells,Installation of Borewell with Pump.,Chhattisgarh,KORBA,Collector-Korba,Jyotsna Charandas Mahant,KORBA,True,2026-08-09,250000.0
9998,Normal/Others,WS/MP18155/2024-2025/141704,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of Streets & Drains,Punjab,HOSHIARPUR,DEPUTY COMMISSIONER HOSHIARPUR,DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),False,2026-02-04,200000.0
9999,Normal/Others,WS/MP429/2025-2026/208963,Installing tube-wells and borewells,Installation of Tubewell and Pump,Chhattisgarh,KORBA,Collector-Korba,Jyotsna Charandas Mahant,KORBA,True,2026-08-10,250000.0
10000,Normal/Others,WS/MP429/2025-2026/208959,Installing tube-wells and borewells,Installation of Borewell with Pump.,Chhattisgarh,KORBA,Collector-Korba,Jyotsna Charandas Mahant,KORBA,True,2026-08-10,250000.0
10001,Repair and Renovation,WS/MP18083/2025-2026/211343,"Construction of roads, link roads, pathways or any other road with or without drainage system","Interlock installation work in front of Veerabhadra Charitable Trust building in Madiwala community of Ubaradka village, Sulya taluk",Karnataka,DAKSHINA KANNADA,DEPUTY COMMISSIONER DAKSHIN KANNAD MANGALORE,CAPTAIN BRIJESH CHOWTA,DAKSHINA KANNADA,True,2025-07-08,499985.0
10002,Normal/Others,WS/MP18182/2025-2026/195611,"Construction of roads, link roads, pathways or any other road with or without drainage system",Providing Black topping road from Kms 0-520 to 0-780 at Periya panayankulam pond shores in Nainaragaram Village in Kadayanallur Panchayat Union,Tamil Nadu,TENKASI,DISTRICT COLLECTOR TENKASI,DR RANI SRI KUMAR,TENKASI(SC),True,2025-07-08,2494268.0
10003,Normal/Others,WS/MP18182/2025-2026/195610,"Construction of roads, link roads, pathways or any other road with or without drainage system",Providing Black topping road from Kms 0-0 to 0-260  at Periya panayankulam pond shores in Nainaragaram Village in Kadayanallur Panchayat Union,Tamil Nadu,TENKASI,DISTRICT COLLECTOR TENKASI,DR RANI SRI KUMAR,TENKASI(SC),True,2025-07-08,2488445.0
10004,Normal/Others,WS/MP852/2024-2025/152848,Lighting of public spaces,Installation a Solar light in fron of raypur jumma masjid dag no-3213,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10005,Normal/Others,WS/MP852/2024-2025/152853,Lighting of public spaces,Installation a Solar light in front of  motherpur alam bihari house dag no-49,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10006,Normal/Others,WS/MP852/2024-2025/152852,Lighting of public spaces,Installation a Solar light in front of kupila bus stand dag no-600,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10007,Normal/Others,WS/MP852/2024-2025/152851,Lighting of public spaces,Installation a Solar light in front of dumurtala paschimpara jumma masjid dag no -3453,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10008,Normal/Others,WS/MP852/2024-2025/152850,Lighting of public spaces,Installation a Solar light at raipur choa para jeker biswas more dag-3279,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10009,Normal/Others,WS/MP852/2024-2025/152855,Lighting of public spaces,Installation a Solar light at khosalpur kabarsthan dag no-465,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10010,Normal/Others,WS/MP852/2024-2025/152857,Lighting of public spaces,Installation a Solar light at laskarpur durgapara dag no-2023,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10011,Normal/Others,WS/MP852/2024-2025/152856,Lighting of public spaces,Installation a Solar light in front of laskarpur ramnapara mowlabox house dag no-664,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10012,Normal/Others,WS/MP852/2024-2025/152858,Lighting of public spaces,Installation a Solar light in front of shibnagar health sub centre dag no-5602,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10013,Normal/Others,WS/MP852/2024-2025/152859,Lighting of public spaces,Installation a Solar light in front of kusbaria haat dag no-1849,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10014,Normal/Others,WS/MP852/2024-2025/152861,Lighting of public spaces,Installation a Solar light in front of dobapara more . dag no-785,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10015,Normal/Others,WS/MP852/2024-2025/152862,Lighting of public spaces,Installation a Solar light at nishchintapur msk school .dag-8251,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10016,Normal/Others,WS/MP852/2024-2025/152863,Lighting of public spaces,Installation a Solar light at nishchintapur tin matha more dag no-8079,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10017,Normal/Others,WS/MP852/2024-2025/152864,Lighting of public spaces,Installation a Solar light in front of kamurdiar kalitala bazar . dag no-9717,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10018,Normal/Others,WS/MP852/2024-2025/152860,Lighting of public spaces,Installation a Solar light in front of kalyanpur more dag no- 107,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10019,Normal/Others,WS/MP852/2024-2025/152869,Lighting of public spaces,Installation a Solar light at Garibpur mondalpara kabarsthan . dag no-82,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10020,Normal/Others,WS/MP852/2024-2025/152868,Lighting of public spaces,Installation a Solar light at dakshin chandpur primary school . dag no-469,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10021,Normal/Others,WS/MP852/2024-2025/152867,Lighting of public spaces,Installation a Solar light at mominpur kabarsthan . dag no-3644,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10022,Normal/Others,WS/MP852/2024-2025/152866,Lighting of public spaces,Installation a Solar light at kumarpur gorsthan . dag no-1145,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10023,Normal/Others,WS/MP852/2024-2025/152865,Lighting of public spaces,Installation a Solar light in front of momin pur bajar . dag no-3641,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10024,Normal/Others,WS/MP852/2024-2025/152875,Lighting of public spaces,Installation a Solar light in front of shrikrishnapur masjid . dag no-909,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10025,Normal/Others,WS/MP852/2024-2025/152874,Lighting of public spaces,Installation a Solar light in front of kuchimora panchayat . dag no-622,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10026,Normal/Others,WS/MP852/2024-2025/152873,Lighting of public spaces,Installation a Solar light at garaimari bajar . dag no-5503,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10027,Normal/Others,WS/MP852/2024-2025/152872,Lighting of public spaces,Installation a Solar light in front of shibnagar dadanpara kabarsthan .dag no-6107,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10028,Normal/Others,WS/MP852/2024-2025/152871,Lighting of public spaces,Installation a Solar light in front of rajapur madrasha . dag no-1030,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10029,Normal/Others,WS/MP852/2024-2025/152870,Lighting of public spaces,Installation a Solar light in front of pardiar yuva sangha club . dag no-293,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10030,Normal/Others,WS/MP852/2024-2025/152878,Lighting of public spaces,Installation a Solar light at murari pur bangalpara kabarsthan . dag -928,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10031,Normal/Others,WS/MP852/2024-2025/152877,Lighting of public spaces,Installation a Solar light in front of sarangpur jajiya simjatul ulum madrasha . dag no-1627,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10032,Normal/Others,WS/MP852/2024-2025/152876,Lighting of public spaces,Installation a Solar light in front of purba kuchemora karigarpara madrasha . dag no-3522,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-08,140538.0
10033,Normal/Others,WS/MP852/2024-2025/152900,Lighting of public spaces,Installation of a solar light at sarangpur village kabarsthan beside rofikul islam house . dag -518,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10034,Normal/Others,WS/MP852/2024-2025/153228,Lighting of public spaces,Installation a Solar light in front of BRINDABANPUR JUMMA MASJID,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10035,Normal/Others,WS/MP852/2024-2025/153231,Lighting of public spaces,Installation a Solar light in front of RAHAMAN MANDAL MORE DAG NO-504,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10036,Normal/Others,WS/MP852/2024-2025/153232,Lighting of public spaces,Installation a Solar light in front of PIROJPUR UTTARPARA GORSTHAN DAG NO-60,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10037,Normal/Others,WS/MP852/2024-2025/153233,Lighting of public spaces,Installation a Solar light in front of BRIDABANPUR MORE DAG 191,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10038,Normal/Others,WS/MP852/2024-2025/153235,Lighting of public spaces,Installation a Solar light in front of AL AMEEN MISSION DAG NO -4392,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10039,Normal/Others,WS/MP852/2024-2025/153234,Lighting of public spaces,Installation a Solar light in front of HARUPARA DEEP TUBE-WELL,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10040,Normal/Others,WS/MP852/2024-2025/156827,Lighting of public spaces,Installation of Solar High Mast light at kulbona natunpara Gorsthan,West Bengal,MURSHIDABAD,DISTRICT MAGISTRATE MURSHIDABAD,Abu Taher Khan,MURSHIDABAD,True,2025-10-09,140538.0
10041,Normal/Others,WS/MP18162/2025-2026/183882,Construction of community centers and community halls,Samudayik Nirman Kary  Uppar ka Kheda (Govindpura) GP-Chandras PS-Mandal,Rajasthan,BHILWARA,DISTRICT COLLECTOR BHILWARA,DAMODAR AGARWAL,BHILWARA,False,2025-12-25,500000.0
10042,Normal/Others,WS/MP370/2025-2026/184903,"Purchase of IT systems, including hardware and software for educational purposes","Computer Education project at  Govt. U.P. School, Belsara",Odisha,Sundaragada,DISTRICT COLLECTOR SUNDARGARH,Shri Jual Oram,SUNDARGARH (ST),True,2025-07-15,480000.0
10043,Normal/Others,WS/MP716/2025-2026/188921,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of Street and Drain (Water Works wala Rasta),Punjab,MANSA,DEPUTY COMMISSIONER MANSA,Smt Harsimrat Kaur Badal,BHATINDA,True,2026-01-06,768236.0
10044,Normal/Others,WS/MP18152/2025-2026/157880,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Laying of Interlocking tile in Cremation Ground village Nangal,Punjab,MOGA,Deputy Commissioner Moga,SARABJEET SINGH KHALSA,FARIDKOT(SC),True,2025-07-28,200000.0
10045,Normal/Others,WS/MP18054/2024-2025/163781,Providing drains and gutters for public drainage,Providing rain water drainage nala  in front of Ramvadi,Gujarat,MAHESANA,DISTRICT COLLECTOR MAHESANA,HARIBHAI PATEL,MAHESANA,True,2025-07-15,100000.0
10046,Normal/Others,WS/MP582/2024-2025/147353,Improvement of electricity distribution infrastructure,"Sky Light Vehicle Facilitation Work at Tarsadi Municipality, Taluka Mangarol, District Surat",Gujarat,SURAT,DISTRICT COLLECTOR SURAT,Prabhubhai Nagarbhai Vasava,BARDOLI(ST),False,2025-08-05,1500000.0
10047,Normal/Others,WS/MP18328/2025-2026/191194,"Construction of roads, link roads, pathways or any other road with or without drainage system",Concreting of Link Road of Dhalwan ward from Ghati to Kharedu in GP Dhalwan.                                           Work Executive Agency- BDO Gopalpur.,Himachal Pradesh,MANDI,DEPUTY COMMISSIONER MANDI,Kangana Ranaut,MANDI,True,2026-08-29,200000.0
10048,Normal/Others,WS/MP18153/2025-2026/208394,"Construction of roads, link roads, pathways or any other road with or without drainage system",To Sarpanch Gram Panchyt vill NAURANG KE LELI INTERLOCK ROAD From Dhani Balveer Singh TO the Road of Basti Walhe wali,Punjab,FEROZEPUR,DEPUTY COMMISSIONER FIROZEPUR,SHER SINGH GHUBAYA,FIROZPUR,False,2025-11-10,767000.0
10049,Normal/Others,WS/MP18064/2025-2026/167845,Street lights,Installation of 10 Solar strteet Lights in village Bibipur,Haryana,KURUKSHETRA,DEPUTY COMMISSIONER KURUKSHETRA,NAVEEN JINDAL,KURUKSHETRA,True,2026-02-02,165000.0
10050,Normal/Others,WS/MP600/2024-2025/159748,Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,"Construction of cremation shed 	Ward no. 5, pyt. Bannu Chak , 	Dyalachak, 	Kathua",Jammu And Kashmir,KATHUA,DISTRICT DEVELOPMENT COMMISSIONER KATHUA,Jitendra Singh,UDHAMPUR,True,2025-07-09,129500.0
10051,Normal/Others,WS/MP18253/2024-2025/140037,"Construction of roads, link roads, pathways or any other road with or without drainage system",CONSTRUCTION OC CC ROAD WITH PAILING FROM RABI HALDER HOUSE TO RENUPADA HALDER HOUSE,West Bengal,South 24 Parganas,DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS,BAPI HALDAR,MATHURAPUR(SC),True,2025-08-18,268021.0
10052,Repair and Renovation,WS/MP692/2025-2026/164328,Construction of community centers and community halls,Beautification of Community Hall at Undawadi K.P.,Maharashtra,PUNE,DISTRICT COLLECTOR PUNE,Smt Supriya Sadanand Sule,BARAMATI,True,2025-07-09,498057.0
10053,Normal/Others,WS/MP642/2025-2026/195696,Purchase of mobile water tankers,Gram panchayat me pani tankers hetu,Madhya Pradesh,SATNA,DISTRICT COLLECTOR SATNA,Ganesh Singh,SATNA,True,2026-03-27,163424.0
10054,Normal/Others,WS/MP642/2025-2026/195698,Purchase of mobile water tankers,Gram panchayat me pani tankers hetu,Madhya Pradesh,SATNA,DISTRICT COLLECTOR SATNA,Ganesh Singh,SATNA,True,2026-03-27,163424.0
10055,Normal/Others,WS/MP642/2025-2026/195699,Purchase of mobile water tankers,Gram panchayat me pani tankers hetu,Madhya Pradesh,SATNA,DISTRICT COLLECTOR SATNA,Ganesh Singh,SATNA,True,2026-03-27,163424.0
10056,Normal/Others,WS/MP642/2025-2026/195690,Purchase of mobile water tankers,Gram panchayat me pani tankers hetu,Madhya Pradesh,SATNA,DISTRICT COLLECTOR SATNA,Ganesh Singh,SATNA,True,2026-03-28,163424.0
10057,Normal/Others,WS/MP18052/2025-2026/173993,Purchase of vans and buses for educational institutions,"To Purchase and provide a School Bus for ROSARY HIGHER SECONDARY SCHOOL, Navelim.",Goa,SOUTH GOA,DISTRICT COLLECTOR SOUTH GOA,CAPTAIN VIRIATO FERNANDES,SOUTH GOA,True,2025-07-16,2474367.0
10058,Normal/Others,WS/MP642/2025-2026/195701,Purchase of mobile water tankers,Gram panchayat me pani tankers hetu,Madhya Pradesh,SATNA,DISTRICT COLLECTOR SATNA,Ganesh Singh,SATNA,True,2026-03-27,163424.0
10059,Normal/Others,WS/MP372/2025-2026/185503,Lighting of public spaces,"INSTALLATION OF HI-MAST LIGHT NEAR FULURA MALLIK SAI, SAIMANDAP",Odisha,Kataka,DISTRICT COLLECTOR CUTTACK,Shri Bhartruhari Mahtab,CUTTACK,True,2025-07-09,100000.0
10060,Normal/Others,WS/MP18114/2025-2026/157656,Construction of community centers and community halls,Construction of ?Cemetery and Protection Wall in Dalit wasti on Gram Panchayat land.(Special Component Scheme),Maharashtra,BEED,DISTRICT COLLECTOR BEED,BAJRANG MANOHAR SONWANE,BEED,True,2025-07-09,896192.0
10061,Normal/Others,WS/MP642/2025-2026/195700,Purchase of mobile water tankers,Gram panchayat me pani tankers hetu,Madhya Pradesh,SATNA,DISTRICT COLLECTOR SATNA,Ganesh Singh,SATNA,True,2026-03-27,163424.0
10062,Normal/Others,WS/MP372/2025-2026/185504,Lighting of public spaces,INSTALLATION OF HI-MAST LIGHT NEAR KALARABANKA MAHAVIR MANDAP,Odisha,Kataka,DISTRICT COLLECTOR CUTTACK,Shri Bhartruhari Mahtab,CUTTACK,True,2025-07-09,100000.0
10063,Normal/Others,WS/MP372/2025-2026/185505,Lighting of public spaces,"INSTALLATION OF SEMI HI-MAST LIGHT AT BODARA, CUTTACK -PARADEEP ROAD, MANAPUR G.P.",Odisha,Kataka,DISTRICT COLLECTOR CUTTACK,Shri Bhartruhari Mahtab,CUTTACK,True,2025-07-09,150000.0
10064,Normal/Others,WS/MP18052/2025-2026/179144,Purchase of vans and buses for educational institutions,"To provide School Bus under MPLAD scheme to St. Anthony High School, Majorda, Salcete",Goa,SOUTH GOA,DISTRICT COLLECTOR SOUTH GOA,CAPTAIN VIRIATO FERNANDES,SOUTH GOA,True,2025-07-16,2167129.0
10065,Normal/Others,WS/MP642/2025-2026/195703,Purchase of mobile water tankers,Gram panchayat me pani tankers hetu,Madhya Pradesh,SATNA,DISTRICT COLLECTOR SATNA,Ganesh Singh,SATNA,True,2026-03-28,163424.0
10066,Normal/Others,WS/MP18112/2025-2026/166840,Lighting of public spaces,"Prabhag  no. 4. To supply all in one integrated solar device to the playground at Jameel Colony , Under Amravati Municiple Corparation",Maharashtra,AMRAVATI,DISTRICT COLLECTOR AMRAVATI,BALWANT BASWANT WANKHADE,AMRAVATI(SC),True,2025-07-09,299956.0
10067,Normal/Others,WS/MP642/2025-2026/195702,Purchase of mobile water tankers,Gram panchayat me pani tankers hetu,Madhya Pradesh,SATNA,DISTRICT COLLECTOR SATNA,Ganesh Singh,SATNA,True,2026-03-27,163424.0
10068,Normal/Others,WS/MP18112/2025-2026/166839,Lighting of public spaces,"Supply of all in one integrated solar device in the playground in Budh Vihar area in the open space of Anusya Colony, Shegaon Rahatgaon Road.Under Amravati Municiple Corporation",Maharashtra,AMRAVATI,DISTRICT COLLECTOR AMRAVATI,BALWANT BASWANT WANKHADE,AMRAVATI(SC),False,2025-07-09,299956.0
10069,Normal/Others,WS/MP654/2025-2026/198006,Construction of culverts and bridges,RCC culvert construction work near Nanda Gond farm on the main road Deori to Jamgaon road. Implementing agency - Gram Panchayat,Madhya Pradesh,ANUPPUR,DISTRICT COLLECTOR ANUPPUR,Smt Himadri Singh,SHAHDOL (ST),True,2026-08-24,999700.0
10070,Normal/Others,WS/MP18359/2025-2026/194394,Lighting of public spaces,Block Amroha ke gram baseda taga me pm shri jawahar navoday vidyalaya me 5 solar LED lights karya. (Impliment Agency PCCD Amroha).,Uttar Pradesh,AMROHA,DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR,KANWAR SINGH TANWAR,AMROHA,True,2025-12-05,97832.0
10071,Normal/Others,WS/MP005/2025-2026/183588,"Construction of roads, link roads, pathways or any other road with or without drainage system",Construction of Paver Block Nearby Ranchodji Mandir Area near Vanrajisinh House,Gujarat,KHEDA,DISTRICT COLLECTOR KHEDA,Devusinh Jesingbhai Chauhan,KHEDA,False,2026-02-12,392241.0
10072,Normal/Others,WS/MP18359/2025-2026/194393,"Purchase of IT systems, including hardware and software for educational purposes",Block Amroha ke gram baseda taga me pm shri jawahar navoday vidyalaya me ek 25 KVA genrator instalation karya (Impliment Agency PCCD Amroha).,Uttar Pradesh,AMROHA,DISTRICT MAGISTRATE JYOTIBAPHULE NAGAR,KANWAR SINGH TANWAR,AMROHA,True,2025-12-05,650519.0
