Sr. No.,Work Type,Work ID,State,IDA District,IDA Office,Hon'ble Members of Parliament,Constituency,Expenditure Date,Vendor Name,Payment Status,Fund Disbursed Amount (INR)
31369,Construction of rooms and halls in school and colleges,WS/MP18137/2025-2026/162032,Meghalaya,RI BHOI,DEPUTY COMMISSIONER RIBHOI NONGPOH,ANDREW J. SYNGKON,SHILLONG,2025-10-17,Paulloste Makdoh,Payment Success,150000.0
31370,Construction of rooms and halls in school and colleges,WS/MP18137/2025-2026/162032,Meghalaya,RI BHOI,DEPUTY COMMISSIONER RIBHOI NONGPOH,ANDREW J. SYNGKON,SHILLONG,2026-03-31,Paulloste Makdoh,Payment Success,150000.0
31371,Construction of bus-sheds or bus-stops,WS/MP740/2025-2026/160945,Tamil Nadu,THE NILGIRIS,DISTRICT COLLECTOR NILGIRIS,Andimuthu Raja,NILGIRIS(SC),2025-08-19,SIVAPRAKASAM,Payment Success,499995.0
31372,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18258/2025-2026/183834,Maharashtra,YAVATMAL,DISTRICT COLLECTOR YAVATMAL,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,CHANDRAPUR,2025-09-03,Kaleshwar Majur Kamgar Sahkari Sanstha Kaleshwar,Payment Success,1966157.0
31373,Lighting of public spaces,WS/MP18186/2025-2026/173219,Tamil Nadu,THIRUVALLUR,DISTRICT COLLECTOR TIRUVALLUR,Sasikanth Senthil,TIRUVALLUR(SC),2025-08-29,Sri Srinivasa Electricals,Payment Success,435000.0
31374,Construction of community centers and community halls,WS/MP618/2025-2026/208755,Karnataka,BAGALKOTE,DEPUTY COMMISSIONER BAGALKOT,Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,2026-07-02,TIPPANNA HALAGATTI,Payment Success,125000.0
31375,Construction of community centers and community halls,WS/MP618/2025-2026/171168,Karnataka,BAGALKOTE,DEPUTY COMMISSIONER BAGALKOT,Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,2025-08-21,TIPPANNA HALAGATTI,Payment Success,375000.0
31376,Construction of community centers and community halls,WS/MP618/2025-2026/208755,Karnataka,BAGALKOTE,DEPUTY COMMISSIONER BAGALKOT,Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,2026-01-14,TIPPANNA HALAGATTI,Payment Success,375000.0
31377,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18328/2025-2026/191709,Himachal Pradesh,MANDI,DEPUTY COMMISSIONER MANDI,Kangana Ranaut,MANDI,2026-02-05,gram panchayat batwara,Payment Success,99005.0
31378,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18328/2025-2026/191709,Himachal Pradesh,MANDI,DEPUTY COMMISSIONER MANDI,Kangana Ranaut,MANDI,2025-09-20,gram panchayat batwara,Payment Success,100000.0
